rowid,pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_rade_error,pl_bmasse_error,st_rad_error,st_teff_error,pl_orbsmax_error,pl_insol_error,pl_flux,pl_flux_error
80,CoRoT-23 b,11.77,1.46,-1.46,889.9,95.3,-95.3,1.021291328,0.017310023,-0.017310023,1.61,0.18,-0.18,0.048,0.004,-0.004,,,,1.46,95.3,0.18,0.017310023,0.004,,1223.961772,351.2839142
83,CoRoT-25 b,12.11,3.4,-1.12,85.81,12.71,-12.71,1.045525359,0.01557902,-0.01557902,1.19,0.14,-0.03,0.0578,0.002,-0.0009,,,,2.26,12.71,0.085,0.01557902,0.00145,,506.4965952,82.41739305
84,CoRoT-26 b,14.12,1.46,-0.78,165.26,15.89,-15.89,0.967630258,0.017310023,-0.017310023,1.79,0.18,-0.09,0.0526,0.001,-0.001,,,,1.12,15.89,0.135,0.017310023,0.001,,1015.24845,173.8363425
86,CoRoT-28 b,10.705,0.74,-0.74,153.82972,27.65121,-27.65121,0.891466159,0.017310023,-0.017310023,1.78,0.11,-0.11,0.0603,0.005,-0.005,,,,0.74,27.65121,0.11,0.017310023,0.005,,550.332076,121.5854478
89,CoRoT-4 b,13.34,0.67,-0.56,228.83,25.43,-25.43,1.071490393,0.010386014,-0.010386014,1.17,0.01,-0.03,0.09,0.001,-0.001,,,,0.615,25.43,0.02,0.010386014,0.001,,222.7613445,12.53402958
90,CoRoT-5 b,15.558,0.516,-0.527,148.42,14.937,-7.628,1.055911373,0.011251515,-0.011251515,1.19,0.04,-0.04,0.04947,0.00026,-0.00029,,,,0.5215,11.2825,0.04,0.011251515,0.000275,,719.3164163,57.81343137
91,CoRoT-6 b,13.068,0.392,-0.392,940.74,108.06,-108.06,1.05418037,0.012117016,-0.012117016,1.02,0.03,-0.03,0.0855,0.0015,-0.0015,,,,0.392,108.06,0.03,0.012117016,0.0015,,175.7631448,14.49938485
94,CoRoT-8 b,6.39,0.22,-0.22,69.92,9.53,-9.53,0.879349143,0.013848018,-0.013848018,0.77,0.02,-0.02,0.063,0.001,-0.001,,,,0.22,9.53,0.02,0.013848018,0.001,,89.31938629,7.82471398
95,CoRoT-9 b,11.949,0.841,-0.706,266.9772,15.8915,-15.8915,0.973688766,0.013848018,-0.013848018,0.96,0.06,-0.06,0.4021,0.0054,-0.0054,,,,0.7735,15.8915,0.06,0.013848018,0.0054,,5.123360986,0.716954852
134,GJ 1214 b,2.847,0.202,-0.202,6.26125,0.85814,-0.85814,0.523801281,0.025965034,-0.025965034,0.22,0.01,-0.01,0.01411,0.00032,-0.00032,,,,0.202,0.85814,0.01,0.025965034,0.00032,,18.30027259,4.077199664
136,GJ 143 b,2.61,0.17,-0.16,22.7,2.2,-1.9,0.803185044,0.017310023,-0.017310023,0.69,0.03,-0.03,0.1915,0.0058,-0.0063,,,,0.165,2.05,0.03,0.017310023,0.00605,,5.402852072,0.744446707
157,GJ 3470 b,4.57,0.18,-0.18,13.9,1.5,-1.5,0.62316081,0.017310023,-0.017310023,0.55,0.02,-0.02,0.0355,0.0019,-0.0019,,,,0.18,1.5,0.02,0.017310023,0.0019,,36.19671896,6.173952792
158,GJ 357 b,1.217,0.084,-0.083,1.84,0.31,-0.31,0.606716289,0.008828111,-0.008828111,0.34,0.01,-0.01,0.035,0.002,-0.002,12.6,1.1,-0.8,0.0835,0.31,0.01,0.008828111,0.002,0.95,12.78687337,1.804217003
198,GJ 9827 b,1.577,0.027,-0.031,4.91,0.49,-0.49,0.751254977,0.006924009,-0.009174312,0.6,0.01,0,0.0188,0.0002,-0.00014,,,,0.029,0.49,0.005,0.00804916,0.00017,,324.4413876,16.03142194
200,GJ 9827 d,2.022,0.046,-0.043,4.04,0.82,-0.84,0.751254977,0.006924009,-0.009174312,0.6,0.01,0,0.05591,0.00059,-0.00041,,,,0.0445,0.83,0.005,0.00804916,0.0005,,36.68368573,1.809966311
207,HAT-P-1 b,14.785,0.213,-0.213,166.86075,6.03877,-6.03877,1.035139346,0.008481911,-0.008481911,1.17,0.03,-0.03,0.05561,0.00082,-0.00083,,,,0.213,6.03877,0.03,0.008481911,0.000825,,508.2310555,34.4116839
208,HAT-P-11 b,4.36,0.06,-0.06,23.4,1.5,-1.5,0.827419076,0.008655011,-0.008655011,0.68,0.01,-0.01,0.05254,0.00064,-0.00066,,,,0.06,1.5,0.01,0.008655011,0.00065,,78.51268049,4.460695162
210,HAT-P-12 b,10.749,0.325,-0.235,67.059,3.814,-3.814,0.804916046,0.010386014,-0.010386014,0.7,0.02,-0.01,0.0384,0.0003,-0.0003,,,,0.28,3.814,0.015,0.010386014,0.0003,,139.4877191,9.608230705
215,HAT-P-16 b,14.448,0.74,-0.74,1332.605,29.875,-29.875,1.065951186,0.013848018,-0.013848018,1.24,0.05,-0.05,0.0413,0.0004,-0.0004,,,,0.74,29.875,0.05,0.013848018,0.0004,,1163.838006,113.908828
218,HAT-P-18 b,11.153,0.583,-0.583,62.61,4.132,-4.132,0.831400381,0.013848018,-0.013848018,0.75,0.04,-0.04,0.0559,0.0007,-0.0007,,,,0.583,4.132,0.04,0.013848018,0.0007,,86.00818587,11.02915736
219,HAT-P-19 b,12.689,0.807,-0.807,92.802,5.721,-5.721,0.863770123,0.022503029,-0.022503029,0.82,0.05,-0.05,0.0466,0.0008,-0.0008,,,,0.807,5.721,0.05,0.022503029,0.0008,,172.3648016,28.27537797
221,HAT-P-20 b,9.718,0.37,-0.37,2302.899,59.432,-59.432,0.795395534,0.013848018,-0.013848018,0.69,0.02,-0.02,0.0361,0.0005,-0.0005,,,,0.37,59.432,0.02,0.013848018,0.0005,,146.2232291,13.8548585
